Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1664622574830235648,@theLGBgroup Totally agree,Elon Musk,elonmusk,2023-06-02T13:18:43.000Z,Fri Jun 02 13:18:43 +0000 2023,7965,421,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664622364452089857,@ChoooCole Fixed,Elon Musk,elonmusk,2023-06-02T13:17:53.000Z,Fri Jun 02 13:17:53 +0000 2023,4309,204,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664621389595148290,@jordanbpeterson Countries should make their own decisions and not rely on UN bodies like WHO,Elon Musk,elonmusk,2023-06-02T13:14:01.000Z,Fri Jun 02 13:14:01 +0000 2023,27638,4249,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664620970382901249,@jordanbpeterson Absolutely,Elon Musk,elonmusk,2023-06-02T13:12:21.000Z,Fri Jun 02 13:12:21 +0000 2023,7864,387,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664618300041469952,@charliekirk11 Won’t be long before there are class-action lawsuits by shareholders against the company and board of directors for destruction of shareholder value,Elon Musk,elonmusk,2023-06-02T13:01:44.000Z,Fri Jun 02 13:01:44 +0000 2023,41891,4114,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664617261557055490,@FilmLadd @MattWalshBlog Director related,Elon Musk,elonmusk,2023-06-02T12:57:36.000Z,Fri Jun 02 12:57:36 +0000 2023,5941,304,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664616947235840003,@EndWokeness Not complicated at all,Elon Musk,elonmusk,2023-06-02T12:56:21.000Z,Fri Jun 02 12:56:21 +0000 2023,22256,973,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664616792096927747,@MarioNawfal !,Elon Musk,elonmusk,2023-06-02T12:55:44.000Z,Fri Jun 02 12:55:44 +0000 2023,2112,129,qam,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664614843297439744,"Consenting adults should do whatever makes them happy, provided it does not harm others, but a child is not capable of consent, which is why we have laws protecting minors.",Elon Musk,elonmusk,2023-06-02T12:48:00.000Z,Fri Jun 02 12:48:00 +0000 2023,151327,20188,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,0,,,,,
1664613197452591107,@BasedBeffJezos ????,Elon Musk,elonmusk,2023-06-02T12:41:27.000Z,Fri Jun 02 12:41:27 +0000 2023,1077,62,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664611949517193219,"RT @SpaceX : Three years ago this week we launched our first human spaceflight mission to orbit. 

Thank you to @NASA, @inspiration4x, @Axiom_Space, and the 38 astronauts from all around the world for flying SpaceX! https://t.co/LKpmxGF2Vn",Elon Musk,elonmusk,2023-06-02T12:36:30.000Z,Fri Jun 02 12:36:30 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,,0,3,video,https://video.twimg.com/ext_tw_video/1663942314115624961/pu/vid/640x360/xaQAToj3rdwq2Mx_.mp4?tag=14,,,
1664610007369875458,Insane https://t.co/y1cz26vCzK,Elon Musk,elonmusk,2023-06-02T12:28:47.000Z,Fri Jun 02 12:28:47 +0000 2023,110153,21474,tr,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,https://twitter.com/alx/status/1664609668927242241 ,0,0,,,,,
1664609853778673666,@MattWalshBlog Works now. Only limit is that it will not be placed next to advertising.,Elon Musk,elonmusk,2023-06-02T12:28:10.000Z,Fri Jun 02 12:28:10 +0000 2023,8734,532,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664609541906939908,@Timcast I am on team humanity,Elon Musk,elonmusk,2023-06-02T12:26:56.000Z,Fri Jun 02 12:26:56 +0000 2023,36486,2683,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664609193230204929,Every parent should watch this https://t.co/pIp6UP6vq8,Elon Musk,elonmusk,2023-06-02T12:25:33.000Z,Fri Jun 02 12:25:33 +0000 2023,311511,90363,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,https://twitter.com/realdailywire/status/1664424891372941312 ,0,0,,,,,
1664606429867646979,@TheBabylonBee ??,Elon Musk,elonmusk,2023-06-02T12:14:34.000Z,Fri Jun 02 12:14:34 +0000 2023,7769,282,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664556696532930560,@cremieuxrecueil Concerning,Elon Musk,elonmusk,2023-06-02T08:56:57.000Z,Fri Jun 02 08:56:57 +0000 2023,915,54,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664556171762573312,@AOCpress ??,Elon Musk,elonmusk,2023-06-02T08:54:51.000Z,Fri Jun 02 08:54:51 +0000 2023,6397,317,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664555377659092992,@fentasyl @TheRabbitHole84 @jimjimmiejames !!,Elon Musk,elonmusk,2023-06-02T08:51:42.000Z,Fri Jun 02 08:51:42 +0000 2023,1306,83,qam,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,3,,,,,
1664554967926026242,@MattWalshBlog @realDailyWire Will be fixed tomorrow,Elon Musk,elonmusk,2023-06-02T08:50:04.000Z,Fri Jun 02 08:50:04 +0000 2023,15551,863,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664552672043708417,@jordanbpeterson Working on it,Elon Musk,elonmusk,2023-06-02T08:40:57.000Z,Fri Jun 02 08:40:57 +0000 2023,6974,317,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664535108211163137,@SystemShockGame gg,Elon Musk,elonmusk,2023-06-02T07:31:10.000Z,Fri Jun 02 07:31:10 +0000 2023,615,33,und,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664523637330722820,@teslaownersSV @_hamster_coin Volume should be measured in units of hamster ??,Elon Musk,elonmusk,2023-06-02T06:45:35.000Z,Fri Jun 02 06:45:35 +0000 2023,5622,856,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664522352359604224,@TeslaDarth @jordanbpeterson I don’t know anyone who spends so little time online,Elon Musk,elonmusk,2023-06-02T06:40:28.000Z,Fri Jun 02 06:40:28 +0000 2023,1410,73,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664521783377031169,@JeremyDBoreing @realDailyWire The controversy will drive viewership,Elon Musk,elonmusk,2023-06-02T06:38:13.000Z,Fri Jun 02 06:38:13 +0000 2023,13778,530,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664521396041424898,@WholeMarsBlog ?? what could go wrong?,Elon Musk,elonmusk,2023-06-02T06:36:40.000Z,Fri Jun 02 06:36:40 +0000 2023,4497,219,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664521085826523136,@SmokeAwayyy Pretty much,Elon Musk,elonmusk,2023-06-02T06:35:26.000Z,Fri Jun 02 06:35:26 +0000 2023,2094,95,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664520908638126083,@DanielleFong Nobody knows who they are as a child,Elon Musk,elonmusk,2023-06-02T06:34:44.000Z,Fri Jun 02 06:34:44 +0000 2023,16532,1369,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664519371551567879,"RT @TheBabylonBee : The Babylon Bee + @elonmusk at Twitter HQ

TOMORROW. Premiering exclusively on Twitter. https://t.co/PG60FVCUOx",Elon Musk,elonmusk,2023-06-02T06:28:38.000Z,Fri Jun 02 06:28:38 +0000 2023,0,0,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Retweet,,0,1,video,https://video.twimg.com/ext_tw_video/1663661372713103360/pu/vid/1280x720/yfUWP74hYKrcbd_g.mp4?tag=12,,,
1664517003455938561,@SmokeAwayyy A lot ??,Elon Musk,elonmusk,2023-06-02T06:19:13.000Z,Fri Jun 02 06:19:13 +0000 2023,1925,113,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664447257419083777,@stevenmarkryan The Streisand Effect on this will set an all-time record!,Elon Musk,elonmusk,2023-06-02T01:42:04.000Z,Fri Jun 02 01:42:04 +0000 2023,18266,2564,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664447017182015489,"@cb_doge Yeah, it’s great",Elon Musk,elonmusk,2023-06-02T01:41:07.000Z,Fri Jun 02 01:41:07 +0000 2023,2690,151,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664446663891599360,@TheRabbitHole84 ????,Elon Musk,elonmusk,2023-06-02T01:39:43.000Z,Fri Jun 02 01:39:43 +0000 2023,4029,236,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664442091798159361,"@TheRabbitHole84 @jimjimmiejames This is a major problem. I will be actively lobbying to criminalize making severe, irreversible changes to children below the age of consent. 

Shame on those who advocate this! It is utterly contemptible.",Elon Musk,elonmusk,2023-06-02T01:21:33.000Z,Fri Jun 02 01:21:33 +0000 2023,52831,9876,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,2,,,,,
1664435953459396608,@stillgray @robbystarbuck @realDailyWire @MattWalshBlog @Twitter @JeremyDBoreing Commenting &amp; deliberate sharing will be allowed. Sensitive content just won’t be pushed to people unless they ask for it or a friend sends it to them.,Elon Musk,elonmusk,2023-06-02T00:57:09.000Z,Fri Jun 02 00:57:09 +0000 2023,7037,675,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,6,,,,,
